Last Index Change,Symbol,Company,Sector,Industry
2017-12-27,CCA,Cogeco Communications Inc.,Consumer discretionary,
2017-12-27,CIGI,Colliers International Group Inc.,Financials,
2017-12-27,CUF.UN,Cominar Real Estate Investment Trust,Financials,
2017-12-27,CMG,Computer Modelling Group Ltd.,Information technology,
2017-12-27,CSU,Constellation Software Inc.,Information technology,
2017-12-27,CJR.B,Corus Entertainment Inc.,Consumer discretionary,
2017-12-27,BCB,Cott Corporation,Consumer staples,
2017-12-27,CPG,Crescent Point Energy Corp.,Energy,
2017-12-27,CR,Crew Energy Inc.,Energy,
2017-12-27,CRR.UN,Crombie Real Estate Investment Trust,Financials,
2017-12-27,DSG,Descartes Systems Group Inc.,Information technology,
2017-12-27,DGC,Detour Gold Corporation,Materials,
2017-12-27,DOL,Dollarama Inc.,Consumer discretionary,
2017-12-27,DII.B,Dorel Industries Inc.,Consumer discretionary,
2017-12-27,DRG.UN,Dream Global Real Estate Investment Trust,Financials,
2017-12-27,D.UN,Dream Office Real Estate Investment Trust,Financials,
2017-12-27,ECN,ECN Capital Corp.,Financials,
2017-12-27,ELD,Eldorado Gold Corporation,Materials,
2017-12-27,EFN,Element Fleet Management Corp.,Financials,
2017-12-27,EMA,Emera Incorporated,Utilities,
2017-12-27,EMP.A,Empire Company Limited,Consumer staples,
2017-12-27,ENB,Enbridge Inc.,Energy,
2017-12-27,ENF,Enbridge Income Fund Holdings Inc.,Energy,
2017-12-27,ECA,Encana Corporation,Energy,
2017-12-27,EDV,Endeavour Mining Corporation,Materials,
2017-12-27,ECI,EnerCare Inc.,Industrials,
2017-12-27,EFX,Enerflex Ltd.,Energy,
2017-12-27,ERF,Enerplus Corporation,Energy,
2017-12-27,ENGH,Enghouse Systems Limited,Information technology,
2017-12-27,ESI,Ensign Energy Services Inc.,Energy,
2017-12-27,EIF,Exchange Income Corporation,Aviation / equipment,
2017-12-27,EXE,Extendicare Inc.,Health care,
2017-12-27,FFH,Fairfax Financial Holdings Limited,Financials,
2017-12-27,FTT,Finning International Inc.,Industrials,
2017-12-27,FCR,First Capital Realty Inc.,Financials,
2017-12-27,FR,First Majestic Silver Corp.,Materials,
2017-12-27,FM,First Quantum Minerals Ltd.,Materials,
2017-12-27,FSV,FirstService Corporation,Financials,
2017-12-27,FTS,Fortis Inc.,Utilities,
2017-12-27,FVI,Fortuna Silver Mines Inc.,Materials,
2017-12-27,FNV,Franco-Nevada Corporation,Materials,
2017-12-27,FRU,Freehold Royalties Ltd.,Energy,
2017-12-27,MIC,Genworth MI Canada Inc.,Financials,
2017-12-27,WN,George Weston Limited,Consumer staples,
2017-12-27,GEI,Gibson Energy Inc.,Energy,Integrated Oil and Gas
2017-12-27,GIL,Gildan Activewear Inc.,Consumer discretionary,
2017-12-27,G,Goldcorp Inc.,Materials,
2017-12-27,GTE,Gran Tierra Energy Inc.,Energy,
2017-12-27,GRT.UN,Granite Real Estate Investment Trust,Financials,
2017-12-27,GC,Great Canadian Gaming Corporation,Consumer discretionary,
2017-12-27,GWO,Great-West Lifeco Inc.,Financials,
2017-12-27,GUY,Guyana Goldfields Inc.,Materials,Metals & Mining
2017-12-27,HR.UN,H&R Real Estate Investment Trust,Financials,
2017-12-27,HCG,Home Capital Group Inc.,Financials,
2017-12-27,HBM,HudBay Minerals Inc.,Materials,
2017-12-27,HBC,Hudson's Bay Company,Consumer discretionary,
2017-12-27,HSE,Husky Energy Inc.,Energy,
2017-12-27,H,Hydro One Limited,Utilities,
2017-12-27,IMG,Iamgold Corporation,Materials,
2017-12-27,IGM,IGM Financial Inc.,Financials,
2017-12-27,IMO,Imperial Oil Limited,Energy,
2017-12-27,IAG,Industrial Alliance Insurance and Financial Services Inc.,Financials,
2017-12-27,INE,Innergex Renewable Energy Inc.,Utilities,
2017-12-27,IFC,Intact Financial Corporation,Financials,
2017-12-27,IPL,Inter Pipeline Ltd.,Energy,
2017-12-27,IFP,Interfor Corporation,Materials,
2017-12-27,ITP,Intertape Polymer Group Inc.,Materials,
2017-12-27,IVN,Ivanhoe Mines Ltd.,Materials,
2017-12-27,PJC.A,Jean Coutu Group Inc.,Consumer staples,
2017-12-27,KEL,Kelt Exploration Ltd.,Energy,
2017-12-27,KEY,Keyera Corp.,Energy,
2017-12-27,KMP.UN,Killiam Apartment Real Estate Investment Trust,Financials,
2017-12-27,KXS,Kinaxis Inc.,Information technology,
2017-12-27,KML,Kinder Morgan Canada,Energy,
2017-12-27,K,Kinross Gold Corporation,Materials,
2017-12-27,KL,Kirkland Lake Gold Ltd.,Materials,
2017-12-27,KDX,Klondex Mines Ltd.,Materials,
2017-12-27,GUD,Knight Therapeutics Inc.,Health care,Drug manufacturers
2017-12-27,LIF,Labrador Iron Ore Royalty Corporation,Materials,
2017-12-27,LB,Laurentian Bank of Canada,Financials,
2017-12-27,LNR,Linamar Corporation,Consumer discretionary,
2017-12-27,L,Loblaw Companies Limited,Consumer staples,
2017-12-27,LUC,Lucara Diamond Corp.,Materials,
2017-12-27,LUN,Lundin Mining Corporation,Materials,
2017-12-27,MAG,MAG Silver Corp.,Materials,
2017-12-27,MG,Magna International Inc.,Consumer discretionary,
2017-12-27,MFC,Manulife Financial Corporation,Financials,
2017-12-27,MFI,Maple Leaf Foods Inc.,Consumer staples,
2017-12-27,MRE,Martinrea International Inc.,Consumer discretionary,
2017-12-27,MAXR,Maxar Technologies Ltd.,Information technology,
2017-12-27,MEG,MEG Energy Corp.,Energy,
2017-12-27,MX,Methanex Corporation,Materials,
2017-12-27,MRU,Metro Inc.,Consumer staples,
2017-12-27,MNW,Mitel Networks Corporation,Information technology,
2017-12-27,MSI,Morneau Shepell Inc.,Industrials,
2017-12-27,MTL,Mullen Group Ltd.,Energy,
2017-12-27,NA,National Bank of Canada,Financials,
2017-12-27,NSU,Nevsun Resources Ltd.,Materials,
2017-12-27,NFI,New Flyer Industries Inc.,Industrials,
2017-12-27,NGD,New Gold Inc.,Materials,
2017-12-27,NXE,NexGen Energy Ltd.,Materials,
2017-12-27,OSB,Norbord Inc.,Materials,
2017-12-27,NPI,Northland Power Inc.,Utilities,
2017-12-27,NVU.UN,Northview Apartment Real Estate Investment Trust,Financials,
2017-12-27,NG,NovaGold Resources Inc.,Materials,
2017-12-27,NTR,Nutrien Ltd.,Materials,
2017-12-27,NVA,NuVista Energy Ltd.,Energy,
2017-12-27,OGC,OceanaGold Corporation,Materials,
2017-12-27,ONEX,Onex Corporation,Financials,
2017-12-27,OTEX,Open Text Corporation,Information technology,
2017-12-27,OR,Osisko Gold Royalties Ltd,Materials,
2017-12-27,PAAS,Pan American Silver Corp.,Materials,
2017-12-27,POU,Paramount Resources Ltd.,Energy,
2017-12-27,PXT,Parex Resources Inc.,Energy,
2017-12-27,PKI,Parkland Fuel Corporation,Energy,
2017-12-27,PSI,Pason Systems Inc.,Energy,
2017-12-27,PPL,Pembina Pipeline Corporation,Energy,
2017-12-27,PEY,Peyto Exploration & Development Corp.,Energy,
2017-12-27,POW,Power Corporation of Canada,Financials,
2017-12-27,PWF,Power Financial Corporation,Financials,
2017-12-27,PSK,PrairieSky Royalty Ltd.,Energy,
2017-12-27,PD,Precision Drilling Corporation,Energy,
2017-12-27,PBH,Premium Brands Holdings Corporation,Consumer staples,
2017-12-27,PVG,Pretium Resources Inc.,Materials,
2017-12-27,PLI,ProMetic Life Sciences Inc.,Health care,
2017-12-27,AAR.UN,Pure Industrial Real Estate Trust,Financials,
2017-12-27,QBR.B,Quebecor Inc.,Consumer discretionary,
2017-12-27,RRX,Raging River Exploration Inc.,Energy,
2017-12-27,QSR,Restaurant Brands International Inc.,Consumer discretionary,
2017-12-27,REI.UN,RioCan Real Estate Investment Trust,Financials,
2017-12-27,RBA,Ritchie Bros. Auctioneers Incorporated,Industrials,
2017-12-27,RCI.B,Rogers Communications Inc.,Telecommunication services,
2017-12-27,RY,Royal Bank of Canada,Financials,
2017-12-27,RUS,Russel Metals Inc.,Industrials,
2017-12-27,SSL,Sandstorm Gold Ltd.,Materials,
2017-12-27,SAP,Saputo Inc.,Consumer staples,
2017-12-27,SES,Secure Energy Services Inc.,Energy,
2017-12-27,SMF,Semafo Inc.,Materials,
2017-12-27,VII,Seven Generations Energy Ltd.,Energy,
2017-12-27,SJR.B,Shaw Communications Inc.,Telecommunication services,
2017-12-27,SCL,ShawCor Ltd.,Energy,
2017-12-27,SHOP,Shopify Inc.,Information technology,
2017-12-27,SIA,Sienna Senior Living Inc.,Health Care,
2017-12-27,SW,Sierra Wireless Inc.,Information technology,
2017-12-27,ZZZ,Sleep Country Canada Holdings Inc.,Consumer discretionary,
2017-12-27,SRU.UN,SmartCentres Real Estate Investment Trust,Financials,
2017-12-27,SNC,SNC-Lavalin Group Inc.,Industrials,
2017-12-27,SPE,Spartan Energy Corp.,Energy,
2017-12-27,TOY,Spin Master Corp.,Consumer discretionary,
2017-12-27,SSRM,SSR Mining,Materials,
2017-12-27,STN,Stantec Inc.,Industrials,
2017-12-27,SJ,Stella-Jones Inc.,Materials,
2017-12-27,SLF,Sun Life Financial Inc.,Financials,
2017-12-27,SU,Suncor Energy Inc.,Energy,
2017-12-27,SPB,Superior Plus Corp.,Industrials,
2017-12-27,THO,Tahoe Resources Inc.,Materials,
2017-12-27,TECK.B,Teck Resources Limited,Materials,
2017-12-27,T,Telus Corporation,Telecommunication services,
2017-12-27,TFII,TFI International Inc.,Industrials,
2017-12-27,NWC,The North West Company Inc.,Consumer staples,
2017-12-27,TSGI,The Stars Group Inc.,Consumer discretionary,
2017-12-27,TRI,Thomson Reuters Corporation,Consumer discretionary,
2017-12-27,X,TMX Group Limited,Financials,
2017-12-27,TOG,TORC Oil & Gas Ltd.,Energy,
2017-12-27,TXG,Torex Gold Resources Inc.,Materials,
2017-12-27,TIH,Toromont Industries Ltd.,Industrials,
2017-12-27,TD,Toronto-Dominion Bank,Financials,
2017-12-27,TOU,Tourmaline Oil Corp.,Energy,
2017-12-27,TA,TransAlta Corporation,Utilities,
2017-12-27,RNW,TransAlta Renewables Inc.,Utilities,
2017-12-27,TRP,TransCanada Corporation,Energy,
2017-12-27,TCL.A,Transcontinental Inc.,Industrials,
2017-12-27,TCW,Trican Well Service Ltd.,Energy,
2017-12-27,TCN,Tricon Capital Group Inc.,Financials,
2017-12-27,TRQ,Turquoise Hill Resources Ltd.,Materials,
2017-12-27,UNS,Uni-Select Inc.,Consumer discretionary,
2017-12-27,VRX,Valeant Pharmaceuticals International Inc.,Health care,
2017-12-27,VET,Vermilion Energy Inc.,Energy,
2017-12-27,WCN,Waste Connections Inc.,Industrials,
2017-12-27,WFT,West Fraser Timber Co. Ltd.,Materials,
2017-12-27,WEF,Western Forest Products Inc.,Materials,
2017-12-27,WJA,WestJet Airlines Ltd.,Industrials,
2017-12-27,WTE,Westshore Terminals Investment Corporation,Industrials,
2017-12-27,WPM,Wheaton Precious Metals Corp.,Materials,
2017-12-27,WCP,Whitecap Resources Inc.,Energy,
2017-12-27,WPK,Winpak Ltd.,Materials,
2017-12-27,WSP,WSP Global Inc.,Industrials,
2017-12-27,YRI,Yamana Gold Inc.,Materials,
2016-09-16,AAV,Advantage Oil & Gas Ltd.,Energy,
2016-09-16,ARE,Aecon Group Inc.,Industrials,
2016-09-16,AEM,Agnico Eagle Mines Limited,Materials,
2016-09-16,AGU,Agrium Inc.,Materials,
2016-09-16,AC,Air Canada,Industrials,
2016-09-16,ASR,Alacer Gold Corp.,Materials,
2016-09-16,AGI,Alamos Gold Inc.,Materials,
2016-09-16,AD,Alaris Royalty Corp.,Financials,
2016-09-16,AQN,Algonquin Power & Utilities Corp.,Utilities,
2016-09-16,ATD.B,Alimentation Couche-Tard Inc.,Consumer Staples,
2016-09-16,AP.UN,Allied Properties Real Estate Investment Trust,Financials,
2016-09-16,ALA,AltaGas Ltd.,Energy,
2016-09-16,AIF,Altus Group Limited,Financials,
2016-09-16,AYA,Amaya Inc.,Consumer Discretionary,
2016-09-16,ARX,ARC Resources Ltd.,Energy,
2016-09-16,AX.UN,Artis Real Estate Investment Trust,Financials,
2016-09-16,ACO.X,ATCO Ltd.,Utilities,
2016-09-16,ATA,ATS Automation Tooling Systems Inc.,Industrials,
2016-09-16,BTO,B2Gold Corp.,Materials,
2016-09-16,BAD,Badger Daylighting Ltd.,Industrials,
2016-09-16,BMO,Bank of Montreal,Financials,
2016-09-16,BNS,Bank of Nova Scotia,Financials,
2016-09-16,ABX,Barrick Gold Corporation,Materials,
2016-09-16,BTE,Baytex Energy Corp.,Energy,
2016-09-16,BCE,BCE Inc.,Telecommunication Services,
2016-09-16,BIR,Birchcliff Energy Ltd.,Energy,
2016-09-16,BB,BlackBerry Limited,Information Technology,
2016-09-16,BEI.UN,Boardwalk Real Estate Investment Trust,Financials,
2016-09-16,BBD.B,Bombardier Inc.,Industrials,
2016-09-16,BLX,Boralex Inc.,Utilities,
2016-09-16,BYD.UN,Boyd Group Income Fund,Industrials,
2016-09-16,BAM.A,Brookfield Asset Management Inc.,Financials,
2016-09-16,BBU.UN,Brookfield Business Partners L.P.,Industrials,
2016-09-16,BLP.UN,Brookfield Infrastructure Partners L.P.,Utilities,
2016-09-16,BPY.UN,Brookfield Property Partners L.P.,Financials,
2016-09-16,BEP.UN,Brookfield Renewable Partners L.P.,Utilities,
2016-09-16,DOO,BRP Inc.,Consumer Discretionary,
2016-09-16,CAE,CAE Inc.,Industrials,
2016-09-16,CCO,Cameco Corporation,Energy,
2016-09-16,GOOS,Canada Goose Holdings Inc.,Consumer Discretionary,
2016-09-16,CAR.UN,Canadian Apartment Properties Real Estate Investment Trust,Financials,
2016-09-16,CM,Canadian Imperial Bank of Commerce,Financials,
2016-09-16,CNR,Canadian National Railway Company,Industrials,
2016-09-16,CNQ,Canadian Natural Resources Limited,Energy,
2016-09-16,CP,Canadian Pacific Railway Limited,Industrials,
2016-09-16,REF.UN,Canadian Real Estate Investment Trust,Financials,
2016-09-16,CTC.A,Canadian Tire Corporation Limited,Consumer Discretionary,
2016-09-16,CU,Canadian Utilities Limited,Utilities,
2016-09-16,CWB,Canadian Western Bank,Financials,
2016-09-16,CFP,Canfor Corporation,Materials,
2016-09-16,WEED,Canopy Growth Corporation,Consumer Staples,
2016-09-16,CPX,Capital Power Corporation,Utilities,
2016-09-16,CAS,Cascades Inc.,Materials,
2016-09-16,CCL.B,CCL Industries Inc.,Materials,
2016-09-16,CLS,Celestica Inc.,Information Technology,
2016-09-16,CVE,Cenovus Energy Inc.,Energy,
2016-09-16,CG,Centerra Gold Inc.,Materials,
2016-09-16,CEU,CES Energy Solutions Corp.,Energy,
2016-09-16,GIB.A,CGI Group Inc.,Information Technology,
2016-09-16,CSH.UN,Chartwell Retirement Residences,Financials,
2016-09-16,CHE.UN,Chemtrade Logistics Income Fund,Materials,
2016-09-16,CHR,Chorus Aviation Inc.,Industrials,
2016-09-16,CIX,CI Financial Corp.,Financials,
2016-09-16,CGX,Cineplex Inc.,Consumer Discretionary,
2016-09-16,CCA,Cogeco Communications Inc.,Consumer Discretionary,
2016-09-16,CIGI,Colliers International Group Inc.,Financials,
2016-09-16,CUF.UN,Cominar Real Estate Investment Trust,Financials,
2016-09-16,CMG,Computer Modelling Group Ltd.,Information Technology,
2016-09-16,CSU,Constellation Software Inc.,Information Technology,
2016-09-16,CJR.B,Corus Entertainment Inc.,Consumer Discretionary,
2016-09-16,BCB,Cott Corporation,Consumer Staples,
2016-09-16,CPG,Crescent Point Energy Corp.,Energy,
2016-09-16,CR,Crew Energy Inc.,Energy,
2016-09-16,CRR.UN,Crombie Real Estate Investment Trust,Financials,
2016-09-16,DSG,Descartes Systems Group Inc.,Information Technology,
2016-09-16,DGC,Detour Gold Corporation,Materials,
2016-09-16,DOL,Dollarama Inc.,Consumer Discretionary,
2016-09-16,DII.B,Dorel Industries Inc.,Consumer Discretionary,
2016-09-16,DRG.UN,Dream Global Real Estate Investment Trust,Financials,
2016-09-16,D.UN,Dream Office Real Estate Investment Trust,Financials,
2016-09-16,ECN,ECN Capital Corp.,Financials,
2016-09-16,ELD,Eldorado Gold Corporation,Materials,
2016-09-16,EFN,Element Fleet Management Corp.,Financials,
2016-09-16,EMA,Emera Incorporated,Utilities,
2016-09-16,EMP.A,Empire Company Limited,Consumer Staples,
2016-09-16,ENB,Enbridge Inc.,Energy,
2016-09-16,ENF,Enbridge Income Fund Holdings Inc.,Energy,
2016-09-16,ECA,Encana Corporation,Energy,
2016-09-16,EDV,Endeavour Mining Corporation,Materials,
2016-09-16,ECI,EnerCare Inc.,Industrials,
2016-09-16,EFX,Enerflex Ltd.,Energy,
2016-09-16,ERF,Enerplus Corporation,Energy,
2016-09-16,ENGH,Enghouse Systems Limited,Information Technology,
2016-09-16,ESI,Ensign Energy Services Inc.,Energy,
2016-09-16,EIF,Exchange Income Corporation,Aviation / Equipment,
2016-09-16,EXE,Extendicare Inc.,Health Care,
2016-09-16,FFH,Fairfax Financial Holdings Limited,Financials,
2016-09-16,FTT,Finning International Inc.,Industrials,
2016-09-16,FCR,First Capital Realty Inc.,Financials,
2016-09-16,FR,First Majestic Silver Corp.,Materials,
2016-09-16,FM,First Quantum Minerals Ltd.,Materials,
2016-09-16,FSV,FirstService Corporation,Financials,
2016-09-16,FTS,Fortis Inc.,Utilities,
2016-09-16,FVI,Fortuna Silver Mines Inc.,Materials,
2016-09-16,FNV,Franco-Nevada Corporation,Materials,
2016-09-16,FRU,Freehold Royalties Ltd.,Energy,
2016-09-16,MIC,Genworth MI Canada Inc.,Financials,
2016-09-16,WN,George Weston Limited,Consumer Staples,
2016-09-16,GEI,Gibson Energy Inc.,Energy,
2016-09-16,GIL,Gildan Activewear Inc.,Consumer Discretionary,
2016-09-16,G,Goldcorp Inc.,Materials,
2016-09-16,GTE,Gran Tierra Energy Inc.,Energy,
2016-09-16,GRT.UN,Granite Real Estate Investment Trust,Financials,
2016-09-16,GC,Great Canadian Gaming Corporation,Consumer Discretionary,
2016-09-16,GWO,Great-West Lifeco Inc.,Financials,
2016-09-16,GUY,Guyana Goldfields Inc.,Materials,
2016-09-16,HR.UN,H&R Real Estate Investment Trust,Financials,
2016-09-16,HCG,Home Capital Group Inc.,Financials,
2016-09-16,HBM,HudBay Minerals Inc.,Materials,
2016-09-16,HBC,Hudson's Bay Company,Consumer Discretionary,
2016-09-16,HSE,Husky Energy Inc.,Energy,
2016-09-16,H,Hydro One Limited,Utilities,
2016-09-16,IMG,Iamgold Corporation,Materials,
2016-09-16,IGM,IGM Financial Inc.,Financials,
2016-09-16,IMO,Imperial Oil Limited,Energy,
2016-09-16,IAG,Industrial Alliance Insurance and Financial Services Inc.,Financials,
2016-09-16,INE,Innergex Renewable Energy Inc.,Utilities,
2016-09-16,IFC,Intact Financial Corporation,Financials,
2016-09-16,IPL,Inter Pipeline Ltd.,Energy,
2016-09-16,IFP,Interfor Corporation,Materials,
2016-09-16,ITP,Intertape Polymer Group Inc.,Materials,
2016-09-16,IVN,Ivanhoe Mines Ltd.,Materials,
2016-09-16,PJC.A,Jean Coutu Group Inc.,Consumer Staples,
2016-09-16,KEL,Kelt Exploration Ltd.,Energy,
2016-09-16,KEY,Keyera Corp.,Energy,
2016-09-16,KMP.UN,Killiam Apartment Real Estate Investment Trust,Financials,
2016-09-16,KXS,Kinaxis Inc.,Information Technology,
2016-09-16,KML,Kinder Morgan Canada,Energy,
2016-09-16,K,Kinross Gold Corporation,Materials,
2016-09-16,KLG,Kirkland Lake Gold Inc.,Materials,
2016-09-16,KDX,Klondex Mines Ltd.,Materials,
2016-09-16,GUD,Knight Therapeutics Inc.,Health Care,
2016-09-16,LIF,Labrador Iron Ore Royalty Corporation,Materials,
2016-09-16,LB,Laurentian Bank of Canada,Financials,
2016-09-16,LNR,Linamar Corporation,Consumer Discretionary,
2016-09-16,L,Loblaw Companies Limited,Consumer Staples,
2016-09-16,LUC,Lucara Diamond Corp.,Materials,
2016-09-16,LUN,Lundin Mining Corporation,Materials,
2016-09-16,MAG,MAG Silver Corp.,Materials,
2016-09-16,MG,Magna International Inc.,Consumer Discretionary,
2016-09-16,MFC,Manulife Financial Corporation,Financials,
2016-09-16,MFI,Maple Leaf Foods Inc.,Consumer Staples,
2016-09-16,MRE,Martinrea International Inc.,Consumer Discretionary,
2016-09-16,MAXR,Maxar Technologies Ltd.,Information Technology,
2016-09-16,MEG,MEG Energy Corp.,Energy,
2016-09-16,MX,Methanex Corporation,Materials,
2016-09-16,MRU,Metro Inc.,Consumer Staples,
2016-09-16,MNW,Mitel Networks Corporation,Information Technology,
2016-09-16,MSI,Morneau Shepell Inc.,Industrials,
2016-09-16,MTL,Mullen Group Ltd.,Energy,
2016-09-16,NA,National Bank of Canada,Financials,
2016-09-16,NSU,Nevsun Resources Ltd.,Materials,
2016-09-16,NFI,New Flyer Industries Inc.,Industrials,
2016-09-16,NGD,New Gold Inc.,Materials,
2016-09-16,OSB,Norbord Inc.,Materials,
2016-09-16,NPI,Northland Power Inc.,Utilities,
2016-09-16,NVU.UN,Northview Apartment Real Estate Investment Trust,Financials,
2016-09-16,NG,NovaGold Resources Inc.,Materials,
2016-09-16,NVA,NuVista Energy Ltd.,Energy,
2016-09-16,OGC,OceanaGold Corporation,Materials,
2016-09-16,ONEX,Onex Corporation,Financials,
2016-09-16,OTEX,Open Text Corporation,Information Technology,
2016-09-16,OR,Osisko Gold Royalties Ltd,Materials,
2016-09-16,PAAS,Pan American Silver Corp.,Materials,
2016-09-16,PXT,Parex Resources Inc.,Energy,
2016-09-16,PKI,Parkland Fuel Corporation,Energy,
2016-09-16,PSI,Pason Systems Inc.,Energy,
2016-09-16,PPL,Pembina Pipeline Corporation,Energy,
2016-09-16,PEY,Peyto Exploration & Development Corp.,Energy,
2016-09-16,POT,Potash Corporation of Saskatchewan Inc.,Materials,
2016-09-16,POW,Power Corporation of Canada,Financials,
2016-09-16,PWF,Power Financial Corporation,Financials,
2016-09-16,PSK,PrairieSky Royalty Ltd.,Energy,
2016-09-16,PD,Precision Drilling Corporation,Energy,
2016-09-16,PBH,Premium Brands Holdings Corporation,Consumer Staples,
2016-09-16,PVG,Pretium Resources Inc.,Materials,
2016-09-16,PLI,ProMetic Life Sciences Inc.,Health Care,
2016-09-16,AAR.UN,Pure Industrial Real Estate Trust,Financials,
2016-09-16,QBR.B,Quebecor Inc.,Consumer Discretionary,
2016-09-16,RRX,Raging River Exploration Inc.,Energy,
2016-09-16,QSR,Restaurant Brands International Inc.,Consumer Discretionary,
2016-09-16,REI.UN,RioCan Real Estate Investment Trust,Financials,
2016-09-16,RBA,Ritchie Bros. Auctioneers Incorporated,Industrials,
2016-09-16,RCI.B,Rogers Communications Inc.,Telecommunication Services,
2016-09-16,RY,Royal Bank of Canada,Financials,
2016-09-16,RUS,Russel Metals Inc.,Industrials,
2016-09-16,SSL,Sandstorm Gold Ltd.,Materials,
2016-09-16,SAP,Saputo Inc.,Consumer Staples,
2016-09-16,SES,Secure Energy Services Inc.,Energy,
2016-09-16,SMF,Semafo Inc.,Materials,
2016-09-16,VII,Seven Generations Energy Ltd.,Energy,
2016-09-16,SJR.B,Shaw Communications Inc.,Telecommunication Services,
2016-09-16,SCL,ShawCor Ltd.,Energy,
2016-09-16,SW,Sierra Wireless Inc.,Information Technology,
2016-09-16,SSO,Silver Standard Resources Inc.,Materials,
2016-09-16,SLW,Silver Wheaton Corp.,Materials,
2016-09-16,ZZZ,Sleep Country Canada Holdings Inc.,Consumer Discretionary,
2016-09-16,SRU.UN,Smart Real Estate Investment Trust,Financials,
2016-09-16,SNC,SNC-Lavalin Group Inc.,Industrials,
2016-09-16,SPE,Spartan Energy Corp.,Energy,
2016-09-16,STN,Stantec Inc.,Industrials,
2016-09-16,SJ,Stella-Jones Inc.,Materials,
2016-09-16,SLF,Sun Life Financial Inc.,Financials,
2016-09-16,SU,Suncor Energy Inc.,Energy,
2016-09-16,SPB,Superior Plus Corp.,Industrials,
2016-09-16,SGY,Surge Energy Inc.,Energy,
2016-09-16,THO,Tahoe Resources Inc.,Materials,
2016-09-16,TECK.B,Teck Resources Limited,Materials,
2016-09-16,T,Telus Corporation,Telecommunication Services,
2016-09-16,ITX,The Intertain Group Limited,Consumer Discretionary,
2016-09-16,NWC,The North West Company Inc.,Consumer Staples,
2016-09-16,TRI,Thomson Reuters Corporation,Consumer Discretionary,
2016-09-16,X,TMX Group Limited,Financials,
2016-09-16,TOG,TORC Oil & Gas Ltd.,Energy,
2016-09-16,TXG,Torex Gold Resources Inc.,Materials,
2016-09-16,TIH,Toromont Industries Ltd.,Industrials,
2016-09-16,TD,Toronto-Dominion Bank,Financials,
2016-09-16,TOU,Tourmaline Oil Corp.,Energy,
2016-09-16,TA,TransAlta Corporation,Utilities,
2016-09-16,RNW,TransAlta Renewables Inc.,Utilities,
2016-09-16,TRP,TransCanada Corporation,Energy,
2016-09-16,TCL.A,Transcontinental Inc.,Industrials,
2016-09-16,TFII,TransForce Inc.,Industrials,
2016-09-16,TCN,Tricon Capital Group Inc.,Financials,
2016-09-16,TRQ,Turquoise Hill Resources Ltd.,Materials,
2016-09-16,UNS,Uni-Select Inc.,Consumer Discretionary,
2016-09-16,VRX,Valeant Pharmaceuticals International Inc.,Health Care,
2016-09-16,VSN,Veresen Inc.,Energy,
2016-09-16,VET,Vermilion Energy Inc.,Energy,
2016-09-16,WCN,Waste Connections Inc.,Industrials,
2016-09-16,WFT,West Fraser Timber Co. Ltd.,Materials,
2016-09-16,WEF,Western Forest Products Inc.,Materials,
2016-09-16,WJA,WestJet Airlines Ltd.,Industrials,
2016-09-16,WTE,Westshore Terminals Investment Corporation,Industrials,
2016-09-16,WCP,Whitecap Resources Inc.,Energy,
2016-09-16,WPK,Winpak Ltd.,Materials,
2016-09-16,WSP,WSP Global Inc.,Industrials,
2016-09-16,YRI,Yamana Gold Inc.,Materials,
2016-03-18,AAV,Advantage Oil & Gas Ltd.,Energy,
2016-03-18,ARE,Aecon Group Inc.,Industrials,
2016-03-18,AEM,Agnico Eagle Mines Limited,Materials,
2016-03-18,AGU,Agrium Inc.,Materials,
2016-03-18,AIM,Aimia Inc.,Consumer Discretionary,
2016-03-18,AC,Air Canada,Industrials,
2016-03-18,ASR,Alacer Gold Corp.,Materials,
2016-03-18,AGI,Alamos Gold Inc.,Materials,
2016-03-18,AD,Alaris Royalty Corp.,Financials,
2016-03-18,AQN,Algonquin Power & Utilities Corp.,Utilities,
2016-03-18,ATD.B,Alimentation Couche-Tard Inc.,Consumer Staples,
2016-03-18,AP.UN,Allied Properties Real Estate Investment Trust,Financials,
2016-03-18,ALA,AltaGas Ltd.,Energy,
2016-03-18,AYA,Amaya Inc.,Consumer Discretionary,
2016-03-18,ARX,ARC Resources Ltd.,Energy,
2016-03-18,AX.UN,Artis Real Estate Investment Trust,Financials,
2016-03-18,ACO.X,ATCO Ltd.,Utilities,
2016-03-18,ATA,ATS Automation Tooling Systems Inc.,Industrials,
2016-03-18,AVO,Avigilon Corporation,Information Technology,
2016-03-18,BTO,B2Gold Corp.,Materials,
2016-03-18,BAD,Badger Daylighting Ltd.,Industrials,
2016-03-18,BMO,Bank of Montreal,Financials,
2016-03-18,BNS,Bank of Nova Scotia,Financials,
2016-03-18,ABX,Barrick Gold Corporation,Materials,
2016-03-18,BTE,Baytex Energy Corp.,Energy,
2016-03-18,BCE,BCE Inc.,Telecommunication Services,
2016-03-18,BIR,Birchcliff Energy Ltd.,Energy,
2016-03-18,BB,BlackBerry Limited,Information Technology,
2016-03-18,BEI.UN,Boardwalk Real Estate Investment Trust,Financials,
2016-03-18,BBD.B,Bombardier Inc.,Industrials,
2016-03-18,BNP,Bonavista Energy Corporation,Energy,
2016-03-18,BNE,Bonterra Energy Corp.,Energy,
