Last Index Change,Symbol,Company,Sector,Industry
2020-06-22,EIF,Exchange Income Corporation,Industrials,Transportation
2020-06-22,FFH,Fairfax Financial Holdings Limited,Financial Services,Insurance
2020-06-22,FTT,Finning International Inc.,Industrials,Industrial Distribution
2020-06-22,FCR.UN,First Capital Real Estate Investment Trust,Real Estate,REITs
2020-06-22,FR,First Majestic Silver Corp.,Basic Materials,Metals & Mining
2020-06-22,FM,First Quantum Minerals Ltd.,Basic Materials,Metals & Mining
2020-06-22,FSV,FirstService Corporation,Real Estate,Real Estate
2020-06-22,FVI,Fortuna Silver Mines Inc.,Basic Materials,Metals & Mining
2020-06-22,FTS,Fortis Inc.,Utilities,Regulated Utilities
2020-06-22,FNV,Franco-Nevada Corporation,Basic Materials,Metals & Mining
2020-06-22,MIC,Genworth MI Canada Inc.,Financial Services,Insurance
2020-06-22,WN,George Weston Limited,Consumer Defensive,Retail Defensive
2020-06-22,GEI,Gibson Energy Inc.,Energy,Oil & Gas
2020-06-22,GIL,Gildan Activewear Inc.,Consumer Cyclical,Apparel & Accessories
2020-06-22,GRT.UN,Granite Real Estate Investment Trust,Real Estate,REITs
2020-06-22,GC,Great Canadian Gaming Corporation,Consumer Cyclical,Travel & Leisure
2020-06-22,GWO,Great-West Lifeco Inc.,Financial Services,Insurance
2020-06-22,HR.UN,H&R Real Estate Investment Trust,Real Estate,REITs
2020-06-22,HCG,Home Capital Group Inc.,Financial Services,Banks
2020-06-22,HBM,Hudbay Minerals Inc.,Basic Materials,Metals & Mining
2020-06-22,HSE,Husky Energy Inc.,Energy,Oil & Gas
2020-06-22,H,Hydro One Limited,Utilities,Regulated Utilities
2020-06-22,IAG,iA Financial Corporation Inc.,Financial Services,Insurance
2020-06-22,IMG,Iamgold Corporation,Basic Materials,Metals & Mining
2020-06-22,IGM,IGM Financial Inc.,Financial Services,Asset Management
2020-06-22,IMO,Imperial Oil Limited,Energy,Oil & Gas
2020-06-22,INE,Innergex Renewable Energy Inc.,Utilities,Independent Power Producers
2020-06-22,IFC,Intact Financial Corporation,Financial Services,Insurance
2020-06-22,IPL,Inter Pipeline Ltd.,Energy,Oil & Gas
2020-06-22,IFP,Interfor Corporation,Basic Materials,Forest Products
2020-06-22,IIP.UN,InterRent Real Estate Investment Trust,Real Estate,REITs
2020-06-22,ITP,Intertape Polymer Group Inc.,Consumer Cyclical,Packaging & Containers
2020-06-22,IVN,Ivanhoe Mines Ltd.,Basic Materials,Metals & Mining
2020-06-22,JWEL,Jamieson Wellness Inc.,Consumer Defensive,Consumer Packaged Goods
2020-06-22,KEY,Keyera Corp.,Energy,Oil & Gas
2020-06-22,KMP.UN,Killam Apartment Real Estate Investment Trust,Real Estate,REITs
2020-06-22,KXS,Kinaxis Inc.,Technology,Software
2020-06-22,K,Kinross Gold Corporation,Basic Materials,Metals & Mining
2020-06-22,KL,Kirkland Lake Gold Ltd.,Basic Materials,Metals & Mining
2020-06-22,GUD,Knight Therapeutics Inc.,Healthcare,Drug Manufacturers
2020-06-22,LIF,Labrador Iron Ore Royalty Corporation,Basic Materials,Steel
2020-06-22,LB,Laurentian Bank of Canada,Financial Services,Banks
2020-06-22,LSPD,Lightspeed POS Inc.,Technology,Software
2020-06-22,LNR,Linamar Corporation,Consumer Cyclical,Vehicles & Parts
2020-06-22,L,Loblaw Companies Limited,Consumer Defensive,Retail Defensive
2020-06-22,LUG,Lundin Gold Inc.,Basic Materials,Metals & Mining
2020-06-22,LUN,Lundin Mining Corporation,Basic Materials,Metals & Mining
2020-06-22,MAG,MAG Silver Corp.,Basic Materials,Metals & Mining
2020-06-22,MG,Magna International Inc.,Consumer Cyclical,Vehicles & Parts
2020-06-22,MFC,Manulife Financial Corporation,Financial Services,Insurance
2020-06-22,MFI,Maple Leaf Foods Inc.,Consumer Defensive,Consumer Packaged Goods
2020-06-22,MRE,Martinrea International Inc.,Consumer Cyclical,Vehicles & Parts
2020-06-22,MEG,MEG Energy Corp.,Energy,Oil & Gas
2020-06-22,MX,Methanex Corporation,Basic Materials,Chemicals
2020-06-22,MRU,Metro Inc.,Consumer Defensive,Retail Defensive
2020-06-22,MSI,Morneau Shepell Inc.,Industrials,Business Services
2020-06-22,MTL,Mullen Group Ltd.,Energy,Oil & Gas
2020-06-22,NA,National Bank of Canada,Financial Services,Banks
2020-06-22,NGD,New Gold Inc.,Basic Materials,Metals & Mining
2020-06-22,NFI,NFI Group Inc.,Consumer Cyclical,Vehicles & Parts
2020-06-22,OSB,Norbord Inc.,Basic Materials,Forest Products
2020-06-22,NPI,Northland Power Inc.,Utilities,Independent Power Producers
2020-06-22,NWH.UN,NorthWest Healthcare Properties Real Estate Investment Trust,Real Estate,REITs
